Directory,Project,Notes
MiSeq_M413,Jeremiah-Faith,Clumped
MiSeq_M414,Jeremiah-Faith,Clumped
MiSeq_M415,Jeremiah-Faith,Clumped
MiSeq_M416,Jeremiah-Faith,Clumped
MiSeq_M417,Jeremiah-Faith,Clumped
MiSeq_M426,16S?,Clumped
MiSeq_M431,rc,Clumped
MiSeq_M432,16S?,Clumped
MiSeq_M443_LarissaDENV,Larissa-Thackray-LT,Clumped
MiSeq_M444,16S?,Clumped
MiSeq_M445,ITS,Clumped
MiSeq_M446,ITS,Clumped
MiSeq_M447,kabir,Clumped
MiSeq_M450,ITS,Clumped
MiSeq_M455,MD; rc_MD; kabir,Clumped
MiSeq_M464,Mayo_Kashyap_IBS,Clumped
MiSeq_M465,Mayo_Kashyap_IBS,Clumped
MiSeq_M466,Mayo_Kashyap_IBS,Clumped
MiSeq_M467,Mayo_Kashyap_IBS,Clumped
MiSeq_M468,Mayo_Kashyap_IBS,Clumped
MiSeq_M469,Mayo_Kashyap_IBS,Clumped
MiSeq_M471,16S?,Clumped
MiSeq_M472,Mayo_Kashyap_IBS,Clumped
MiSeq_M473,Mayo_Kashyap_IBS,Clumped
2020_03_20_IBS_virome,Mayo_Kashyap_IBS,"analysis; post-hecatomb, includes assembly"
MiSeq_M475,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M476,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M477,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M478,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M479,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M480,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M481,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M482,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M486,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M487,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M488,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M489,Barouch_Janssen_Stool,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M490,Ampliprep; Symphony; MagNaPure24; MagNaPure96,Clumped
MiSeq_M493,Dan_Barouch 16S,"Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M494,Dan_Barouch,"Clumped; Yuhao HIV (US, Rwanda, Uganda)"
MiSeq_M495,16S?,Clumped
MiSeq_M499,ITS,Clumped
MiSeq_M500,ITS,Clumped
MiSeq_M502,Diamond-White,Clumped
MiSeq_M507,Emma,Clumped
MiSeq_M509,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 14867, 14869, 14871, 15040, 15041, 15042, 15043, 15049, 15050, 15051, 15093"
MiSeq_M510,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 14878, 14879, 14890, 14892, 14894, 14896, 14902, 14904, 14908, 14910, 149122, 15002"
MiSeq_M513,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 14873, 14876, 14883, 14885, 14938, 14944, 14946, 14948, 14952, 14960, 14962, 14964"
MiSeq_M514,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 14966, 14970, 14974, 14978, 14980, 14982, 14986, 14992, 14994, 14996, 15001, 15007"
MiSeq_M515,16S?,Clumped
MiSeq_M517,Brenchley_Plasma,Clumped
MiSeq_M518,Brenchley_Plasma,Clumped
MiSeq_M519,ITS,Clumped; ITS
MiSeq_M520,ITS,Clumped; ITS
MiSeq_M522,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 27723, 27726, 27727, 27728, 27729, 27730, 27732, 27734, 27736, 27738, 27740"
MiSeq_M523,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 27709, 27711, 27712, 27714, 27715, 27716, 27718, 27719, 27720, 27721, 27722"
MiSeq_M524,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 27756, 27757, 27758, 27759, 27760, 27761, 27762, 27763, 27764, 27765, 27766, 27767"
MiSeq_M527,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 27779, 27782, 27784, 27785, 27787, 27788, 27791, 27794, 27796, 27797, 27798"
MiSeq_M528,FMT_Stool,Clumped
MiSeq_M531,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 27799, 27802, 27804, 27807, 27809, 27810, 27813, 27816, 27817, 27819, 27822, 27841"
MiSeq_M532,Miles Parkes RC2 IBD virome,"Clumped; database_ID: 27823, 27825, 27826, 27829, 27831, 27851, 27752, 27755, 28516, 27743, 27745, 27748"
MiSeq_M535,16S?,Clumped
MiSeq_M537,Maria_Crane,Clumped
MiSeq_M538,Maria_Crane,Clumped
MiSeq_M539,Andrew_Haertel,Clumped
MiSeq_M540,Tess_House,Clumped
MiSeq_M541,Andrew_Haertel,Clumped
MiSeq_M542,Andrew_Haertel,Clumped
MiSeq_M557,Cao_Stool 16S,Clumped; 16S
MiSeq_M559,Cao_Stool,
MiSeq_M561_16S,16S,16S
MiSeq_M562,Cao_Stool,
MiSeq_M563,Cao_Stool,
MiSeq_M564,Cao_Stool,
MiSeq_M565,Cao_Stool,
MiSeq_M566_16S_ITS,Diamond,16S; ITS
MiSeq_M569,Cao_Stool,
MiSeq_M570,Cao_Stool,
MiSeq_M571,Cao_Stool,
MiSeq_M572,Cao_Stool,
MiSeq_M573_16S,AndeanBear,16S
MiSeq_M575,Cao_Stool,
MiSeq_M576,Cao_Stool,
MiSeq_M577_16S,Undetermined 16S?,16S
MiSeq_M581,PIDR_PyoneAye?,
MiSeq_M582,PIDR_PyoneAye?,
MiSeq_M583,PIDR_PyoneAye?,
MiSeq_M584,PIDR_PyoneAye?,
MiSeq_M585_16S,16S,16S
MiSeq_M586,Miles Parkes RC2 IBD virome (MilesParkes),"pot experiment; database_ID: 27718, 27778"
MiSeq_M588,Uganda_HepB_Stool,
MiSeq_M589,Uganda_HepB_Stool,
MiSeq_M590,Uganda_HepB_Stool,
MiSeq_M591,PatFast Uganda_HepB_Stool,
MiSeq_M593,Uganda_HepB_Stool,
MiSeq_M594,PatFast Uganda_HepB_Stool,
MiSeq_M595,Miles Parkes RC2 IBD virome,"database_ID: 7544, 7547, 7550, 7553, 7554, 7556, 7561, 7562, 7564, 7568, 7569, 7578, 7589, 7605"
MiSeq_M596,Miles Parkes RC2 IBD virome,"database_ID: 7613, 7614, 7631, 7632, 7634, 7647, 7650, 7652, 10568, 10569, 10571, 10577"
MiSeq_M598,Miles Parkes RC2 IBD virome,"database_ID: 14978, 14986, 14998, 14999, 15012, 15027, 15078, 15763, 15767, 15777, 15783, 15785"
MiSeq_M599,Miles Parkes RC2 IBD virome,"database_ID: 15787, 15791, 15800, 15802, 15804, 15819, 15821, 15825, 15828, 15829, 15830, 15831"
MiSeq_M600,Miles Parkes RC2 IBD virome,"database_ID: 10578, 10586, 10587, 10599, 10613, 10615, 10618, 12274, 13519, 13520, 14899, 14901"
MiSeq_M601,Miles Parkes RC2 IBD virome,"database_ID: 13531, 14881, 14887, 14888, 14894, 14918, 14950, 15834, 15837, 15838, 15839, 15841"
MiSeq_M602,Miner_Cecal,
MiSeq_M603_16S,16S,16S
MiSeq_M610,Miles Parkes RC2 IBD virome,"database_ID: 15765, 15769, 15771, 15773, 15775, 15779, 15781, 15790, 15793, 15795, 15796, 15798"
MiSeq_M611,Miles Parkes RC2 IBD virome,"database_ID: 15806, 15808, 15809, 15813, 15815, 15817, 15823, 15827, 15833, 15835, 15836"
MiSeq_M612,Miles Parkes RC2 IBD virome,"database_ID: 13538, 13540, 13542, 13544, 13546, 13548, 13550, 13552, 13554, 13556, 13558, 13564"
MiSeq_M613,Miles Parkes RC2 IBD virome,"database_ID: 13568, 13574, 14874, 14914, 14916, 14920, 14922, 14924, 14926, 14928"
MiSeq_M614,Miles Parkes RC2 IBD virome,"database_ID: 14930, 14932, 14934, 14936, 14940, 14942, 14954, 14956, 14958, 14968, 14976"
MiSeq_M615,Plamid_COVID,
MiSeq_M616,COVID_cell_culture,
Miseq_M625,Holtz Mom and infant filtered stool,
Miseq_M627,Holtz eLABE,
Miseq_M628,Holtz eLABE,
MiSeq_M631,Miles Parkes RC2 IBD virome,"database_ID: 14988, 14990, 15005, 15007, 15008, 15009, 15014, 15020, 15023, 15026, 15028, 12224"
MiSeq_M632,Miles Parkes RC2 IBD virome,"database_ID: 12228, 12230, 12233, 12235, 12236, 12237, 12238, 12239, 12242, 12243, 12244"
MiSeq_M633,Miles Parkes RC2 IBD virome,"database_ID: 12245, 12246, 12248, 12249, 12250, 12251, 12252, 12253, 12254, 12255, 12256, 12257"
MiSeq_M634,Miles Parkes RC2 IBD virome,"database_ID: 12258, 12259, 12260, 12261, 12262, 12263, 12264, 12265, 12267, 12268, 12270, 12272"
MiSeq_M635,Miles Parkes RC2 IBD virome,"database_ID: 12273, 12277, 12278, 12279, 12283, 12284, 12285, 7542, 7548, 7559, 7566, 7568"
MiSeq_M636,Miles Parkes RC2 IBD virome,"database_ID: 7571, 7574, 7576, 7579, 7581, 7583, 7585, 7587, 7591, 7593, 7594, 7596"
MiSeq_M637_duplicate_of_MiSeq_M642,Miles Parkes RC2 IBD virome,Do NOT use
MiSeq_M638,Miles Parkes RC2 IBD virome,"database_ID: 7626, 7628, 7636, 7638, 7641, 7642, 7644, 7649, 7655, 7656, 7658, 10565"
MiSeq_M640,Jeffrey_IBD_VLP,
MiSeq_M641,Miles Parkes RC2 IBD virome,"database_ID: 10566, 10567, 10570, 10572, 10573, 10574, 10575, 10576, 10580, 10581, 10582, 10583"
MiSeq_M642,Miles Parkes RC2 IBD virome,"database_ID: 7598, 7600, 7602, 7604, 7606, 7608, 7610, 7616, 7619, 7620, 7622, 7624"
MiSeq_M643,Miles Parkes RC2 IBD virome,"database_ID: 10584, 10585, 10588, 10589, 10590, 10591, 10592, 10593, 10594, 10595, 10596"
MiSeq_M644,Miles Parkes RC2 IBD virome,"database_ID: 10597, 10600, 10603, 10605, 10606, 10607, 10608, 10609, 10610"
MiSeq_M645,Miles Parkes RC2 IBD virome,"database_ID: 10612, 10616, 10617, 10619, 10620, 10622, 10623"
MiSeq_M646,Jeffrey_VLP,
MiSeq_M647,Jeffrey_VLP,
MiSeq_M648,Jeffrey_VLP,
Miseq_M649_16S_ITS,gregory_newberry_ITS + Miles Parkes RC2 IBD 16S,"fungal; database_ID: 7542, 7548, 7559, 7566, 7568, 7571, 7574, 7576, 7579, 7581, 7583, 7585, 7587, 7591, 7593, 7594, 7596, 7598, 7600, 7602, 7604, 7606, 7608, 7610, 7616, 7619, 7620, 7622, 7624, 7626, 7628, 7636, 7638, 7641, 7642, 7644, 7649, 7655, 7656, 7658, 10565, 10566, 10567, 10570, 10572, 10573, 10574, 10575, 10576, 10580, 10581, 10582, 10583, 10584, 10585, 10588, 10589, 10590, 10591, 10592, 10593, 10594, 10595, 10596, 10597, 10598, 10600, 10601, 10603, 10604, 10605, 10606, 10607, 10608, 10609, 10610, 10611, 10612, 10614, 10616, 10617, 10619, 10620, 10621, 10622, 10623, 10624, 12224, 12227, 12228, 12230, 12233, 12235, 12236, 12237, 12238, 12239, 12240, 12242, 12243, 12244, 12245, 12246, 12247, 12248, 12249, 12250, 12251, 12252, 12253, 12254, 12255, 12256, 12257, 12258, 12259, 12260, 12261, 12262, 12263, 12264, 12265, 12266, 12267, 12268, 12269, 12270, 12272, 12273, 12274, 12276, 12277, 12278, 12279, 12281, 12282, 12283, 12284, 12285, 13515, 13516, 13517, 13518, 13519, 13520, 13521, 13523, 13525, 13528, 13531, 13532, 13534, 13536, 13538, 13540, 13542, 13544, 13546, 13548, 13550, 13552, 13554, 13556, 13558, 13564, 13568, 13574, 14865, 14867, 14869, 14871, 14873, 14874, 14876, 14878, 14879, 14881, 14883, 14885, 14887, 14890, 14892, 14895, 14896, 14898, 14900, 14902, 14904, 14906, 14908, 14910, 14912, 14914, 14916, 14918, 14920, 14922, 14924, 14926, 14928, 14930, 14932, 14934, 14936, 14938, 14940, 14942, 14944, 14946, 14948, 14950, 14952, 14954, 14956, 14958, 14960, 14962, 14964, 14966, 14968, 14970, 14972, 14974, 14976, 14978, 14980, 14982, 14986, 14988, 14990, 14992, 14994, 14996, 14998, 14999, 15001, 15002, 15004, 15005, 15007, 15008, 15009, 15012, 15014, 15019, 15020, 15023, 15026, 15027, 15028, 15765, 15769, 15771, 15773, 15776, 15779, 15781, 15790, 15794, 15795, 15796, 15798, 15806, 15808, 15809, 15811, 15813, 15815, 15817, 15823, 15827, 15833, 15835, 15836, 15840, 27709, 27711, 27712, 27714, 27715, 27716, 27718, 27719, 27720, 27721, 27722, 27723, 27725, 27726, 27727, 27728, 27729, 27730, 27732, 27734, 27735, 27736, 27738, 27739, 27740, 27741, 27742, 27743, 27745, 27746, 27747, 27748, 27749, 27750, 27751, 27752, 27754, 27755, 27756, 27757, 27758, 27759, 27760, 27761, 27762, 27763, 27764, 27765, 27766, 27767, 27768, 27769, 27770, 27771, 27773, 27776, 27779, 27782, 27784, 27785, 27787, 27788, 27791, 27794, 27795, 27796, 27797, 27798, 27799, 27802, 27803, 27804, 27806, 27807, 27809, 27810, 27813, 27816, 27817, 27819, 27822, 27823, 27825, 27826, 27829, 27831"
MiSeq_M652,Tarr_Parkinsons,
MiSeq_M653,Jamohan,
MiSeq_M654,Jamohan,
MiSeq_M655,Barouch_primate_corona,
MiSeq_M656,Barouch_primate_corona,
MiSeq_M657,Barouch_BAL,
MiSeq_M658,Jasmohan_stool_cirrhosis,
MiSeq_M659,Jasmohan_stool_cirrhosis,
MiSeq_M660,Jasmohan_stool_cirrhosis,
MiSeq_M661,Jas Jamohan stool cirrhosis samples,
MiSeq_M662,Jas Jamohan stool cirrhosis samples,
MiSeq_M663,Jas Jamohan stool cirrhosis samples,
MiSeq_M664,Jasmohan_stool_cirrhosis,
MiSeq_M666,Jasmohan_stool_cirrhosis,
Miseq_M667,Wang Asthma,
Miseq_M668,Wang Asthma,
Miseq_M669,Wang Asthma,
Miseq_M670,Wang Asthma,
MiSeq_M671_TruSeq,"Alex_WNV, Sharmila_ZIKV_delta10, Sharmila_DAKAR_P1JG",
MiSeq_M673,Miles Parkes RC2 IBD virome,
MiSeq_M674,Jasmohan_stool_cirrhosis,
MiSeq_M675,Jasmohan_stool_cirrhosis,
MiSeq_M679,Jeffreys humanized mouse,
MiSeq_M680,Jeffrey Stool,
MiSeq_M681,Jeffrey Stool,
MiSeq_M685,Kwon BAL Fluid,
MiSeq_M686,Kwon BAL Fluid,
MiSeq_M687,Kwon BAL Fluid,
MiSeq_M688,"Kwon BAL Fluid, Bronch Saline",
MiSeq_M690,Kwon BAL Fluid,
MiSeq_M691,Kwon BAL Fluid,
MiSeq_M692,"Kwon BAL Fluid, RML, LUL",
MiSeq_M693,Kwon Bronch Saline,
MiSeq_M694,"Kwon Bronch Saline, Bronch Oral Wash",
MiSeq_M695,Kwon Bronch Saline,
MiSeq_M696_16S,Kwon,
Miseq_M700_16S,Yin Cao,
MiSeq_M701,Miles Parkes RC2 IBD virome,"database_ID: 33855, 33856, 33857, 33859, 33860, 33861, 33862, 33863, 33864, 33865, 33866"
MiSeq_M702,Miles Parkes RC2 IBD virome,"database_ID: 33867, 33869, 33870, 33871, 33872, 33873, 33874, 33875, 33876, 33877"
MiSeq_M704,Miles Parkes RC2 IBD virome,"database_ID: 33879, 33880, 33881, 33882, 33883, 33884, 33885, 33886, 33887, 33888, 33889, 33890"
MiSeq_M705,Miles Parkes RC2 IBD virome,"database_ID: 33891, 33892, 33893, 33894, 33895, 33896, 33897, 33898, 33899, 33900, 33901, 33902"
MiSeq_M706,Miles Parkes RC2 IBD virome,"database_ID: 33904, 33905, 33906, 33907, 33908, 33909, 33910, 33911, 33912, 33913, 33914"
MiSeq_M707,Miles Parkes RC2 IBD virome,"database_ID: 33915, 33916, 33917, 33918, 33919, 33920, 33921, 33922, 33923, 33924, 33925, 33926"
MiSeq_M709,Miles Parkes RC2 IBD virome,"database_ID: 33927, 33928, 33929, 33930, 33931, 33932, 33933, 33934, 33935, 33936, 33937, 33938"
MiSeq_M710,Miles Parkes RC2 IBD virome,"database_ID: 333939, 33940, 33941, 33942, 33943, 33944, 33945, 33946, 33947, 33948, 33949, 33950"
MiSeq_M711,Miles Parkes RC2 IBD virome,"database_ID: 33951, 33952, 33953, 33954, 33955, 33956, 33957, 33958, 33959, 33960, 33961, 33962"
MiSeq_M712,Miles Parkes RC2 IBD virome,"database_ID: 33975, 33976, 33977, 33979, 33980, 33981, 33982, 33983, 33984, 33985"
MiSeq_M713,Miles Parkes RC2 IBD 16S,"database_ID: 33855, 33856, 33857, 33858, 33859, 33860, 33861, 33862, 33863, 33864, 33865, 33866, 33867, 33868, 33869, 33870, 33871, 33872, 33873, 33874, 33875, 33876, 33877, 33878, 33879, 33880, 33881, 33882, 33883, 33884, 33885, 33886, 33887, 33888, 33889, 33890, 33891, 33892, 33893, 33894, 33895, 33896, 33897, 33898, 33899, 33900, 33901, 33902, 33903, 33904, 33905, 33906, 33907, 33908, 33909, 33910, 33911, 33912, 33913, 33914, 33915, 33916, 33917, 33918, 33919, 33920, 33921, 33922, 33923, 33924, 33925, 33926, 33927, 33928, 33929, 33930, 33931, 33932, 33933, 33934, 33935, 33936, 33937, 33938, 33939, 33940, 33941, 33942, 33943, 33944, 33945, 33946, 33947, 33948, 33949, 33950, 33951, 33952, 33953, 33954, 33955, 33956, 33957, 33958, 33959, 33960, 33961, 33962, 33963, 33964, 33965, 33966, 33967, 33968, 33969, 33970, 33971, 33972, 33973, 33974, 33975, 33976, 33977, 33978, 33979, 33980, 33981, 33982, 33983, 33984, 33985, 33986, 33987, 33988, 33989, 33990, 33991, 33992, 33993, 33994, 33995, 33996, 33997, 33998, 33999, 34000, 34001, 34002, 34003, 34004, 34005, 34006, 34007, 34008, 34009, 34010, 34011, 34012, 34013, 34014, 34015, 34016, 34017, 34018, 34019, 34020, 34021, 34022, 34023, 34024, 34025, 34026, 34027, 34028, 34029, 34030, 34031, 34032, 34033, 34034, 34035, 34036, 34037, 34038, 34039, 34040, 34041, 34042, 34043, 34044"
MiSeq_M716,Miles Parkes RC2 IBD virome,"database_ID: 33963, 33964, 33965, 33966, 33967, 33968, 33969, 33970, 33971, 33972, 33973, 33974"
MiSeq_M717,Miles Parkes RC2 IBD virome,"database_ID: 33987, 33988, 33989, 33990, 33991, 33992, 33993, 33994, 33995, 33996, 33997, 33998"
MiSeq_M718,Miles Parkes RC2 IBD virome,"database_ID: 33999, 34000, 34001, 34002, 34003, 34004, 34005, 34006, 34007, 34008, 34009, 34010"
MiSeq_M719,Miles Parkes RC2 IBD virome,"database_ID: 34011, 34012, 34013, 34014, 34015, 34016, 34017, 34018, 34019, 34020, 34021, 34022"
MiSeq_M720,Miles Parkes RC2 IBD virome,"database_ID: 34023, 34024, 34025, 34026, 34027, 34028, 34029, 34030, 34031, 34032, 34034"
MiSeq_M721,Miles Parkes RC2 IBD virome,"database_ID: 34035, 34036, 34037, 34038, 34039, 34040, 34041, 34042, 34043, 34044"
MiSeq_M725,Vanessa Harris Andrew,"IDs: Harris.1, Harris.2, Harris.4, Harris.5, Harris.7, Harris.8, Harris.9, Harris.11, Harris.15, Harris.16, Harris.17, Harris.18"
MiSeq_M726,Vanessa Harris Andrew,"IDs: Harris.25, Harris.30, Harris.20, Harris.22, Harris.31, Harris.32, Harris.33, Harris.34, Harris.35, Harris.36"
MiSeq_M727,Vanessa Harris Andrew,"IDs: Harris.37, Harris.38, Harris.39, Harris.40, Harris.41, Harris.42, Harris.43, Harris.44, Harris.45, Harris.47, Harris.50, Harris.51"
MiSeq_M728,Vanessa Harris Andrew,"IDs: Harris.52, Harris.53, Harris.54, Harris.56, Harris.58, Harris.59, Harris.60, Harris.61, Harris.63, Harris.65, Harris.66"
MiSeq_M733,Vanessa Harris Andrew,"IDs: Harris.67, Harris.68, Harris.69, Harris.70,Harris.71,  Harris.72, Harris.73, Harris.74, Harris.78, Harris.79, Harris.80, Harris.81"
MiSeq_M734,Vanessa Harris Andrew,"IDs: Harris.D0.002.201, Harris.D0.004.102, Harris.D0.005.101, Harris.D0.007.301, Harris.D0.008.302, Harris.D0.009.202, Harris.D0.010.104, Harris.D0.011.103, Harris.D0.015.303, Harris.D0.016.304"
